repository_full_name,name,owner,url,visibility,archived,default_branch,clone_url
"0060lulu/awesome-list","awesome-list","0060lulu","https://github.com/0060lulu/awesome-list","public","false","main","https://github.com/0060lulu/awesome-list.git"
"007ylj/awesome-list","awesome-list","007ylj","https://github.com/007ylj/awesome-list","public","false","master","https://github.com/007ylj/awesome-list.git"
"00xZEROx00/awesome-list","awesome-list","00xZEROx00","https://github.com/00xZEROx00/awesome-list","public","false","main","https://github.com/00xZEROx00/awesome-list.git"
"0x01-tools/awesome-list","awesome-list","0x01-tools","https://github.com/0x01-tools/awesome-list","public","false","main","https://github.com/0x01-tools/awesome-list.git"
"0xbaubau/awesome-list","awesome-list","0xbaubau","https://github.com/0xbaubau/awesome-list","public","false","main","https://github.com/0xbaubau/awesome-list.git"
"0xor0ne/awesome-list","awesome-list","0xor0ne","https://github.com/0xor0ne/awesome-list","public","false","main","https://github.com/0xor0ne/awesome-list.git"
"0xroot-bf/awesome-list","awesome-list","0xroot-bf","https://github.com/0xroot-bf/awesome-list","public","false","main","https://github.com/0xroot-bf/awesome-list.git"
"0xSojalSec/awesome-list","awesome-list","0xSojalSec","https://github.com/0xSojalSec/awesome-list","public","false","main","https://github.com/0xSojalSec/awesome-list.git"
"123wangpengwei/awesome-list","awesome-list","123wangpengwei","https://github.com/123wangpengwei/awesome-list","public","false","master","https://github.com/123wangpengwei/awesome-list.git"
"1ikenna/awesome-list","awesome-list","1ikenna","https://github.com/1ikenna/awesome-list","public","false","main","https://github.com/1ikenna/awesome-list.git"
"1parmsingh/awesome-list","awesome-list","1parmsingh","https://github.com/1parmsingh/awesome-list","public","false","main","https://github.com/1parmsingh/awesome-list.git"
"2733284198/awesome-list","awesome-list","2733284198","https://github.com/2733284198/awesome-list","public","false","master","https://github.com/2733284198/awesome-list.git"
"2scotoyoumu/awesome-list","awesome-list","2scotoyoumu","https://github.com/2scotoyoumu/awesome-list","public","false","main","https://github.com/2scotoyoumu/awesome-list.git"
"333c/awesome-list","awesome-list","333c","https://github.com/333c/awesome-list","public","false","main","https://github.com/333c/awesome-list.git"
"3dflo/awesome-list","awesome-list","3dflo","https://github.com/3dflo/awesome-list","public","false","master","https://github.com/3dflo/awesome-list.git"
"442716649/awesome-list","awesome-list","442716649","https://github.com/442716649/awesome-list","public","false","master","https://github.com/442716649/awesome-list.git"
"451846939/awesome-list","awesome-list","451846939","https://github.com/451846939/awesome-list","public","false","main","https://github.com/451846939/awesome-list.git"
"4phation/awesome-list","awesome-list","4phation","https://github.com/4phation/awesome-list","public","false","main","https://github.com/4phation/awesome-list.git"
"7alva7/awesome-list","awesome-list","7alva7","https://github.com/7alva7/awesome-list","public","false","main","https://github.com/7alva7/awesome-list.git"
"a794581572/awesome-list","awesome-list","a794581572","https://github.com/a794581572/awesome-list","public","false","master","https://github.com/a794581572/awesome-list.git"
"A9xYau/awesome-list","awesome-list","A9xYau","https://github.com/A9xYau/awesome-list","public","false","main","https://github.com/A9xYau/awesome-list.git"
"aafonsomdev/awesome-list","awesome-list","aafonsomdev","https://github.com/aafonsomdev/awesome-list","public","false","main","https://github.com/aafonsomdev/awesome-list.git"
"aahmed646/awesome-list","awesome-list","aahmed646","https://github.com/aahmed646/awesome-list","public","false","main","https://github.com/aahmed646/awesome-list.git"
"abirmehmed/awesome-list","awesome-list","abirmehmed","https://github.com/abirmehmed/awesome-list","public","false","main","https://github.com/abirmehmed/awesome-list.git"
"Abraham62377/awesome-list","awesome-list","Abraham62377","https://github.com/Abraham62377/awesome-list","public","false","main","https://github.com/Abraham62377/awesome-list.git"
"aburumman/awesome-list","awesome-list","aburumman","https://github.com/aburumman/awesome-list","public","false","main","https://github.com/aburumman/awesome-list.git"
"AD404-0/awesome-list","awesome-list","AD404-0","https://github.com/AD404-0/awesome-list","public","false","main","https://github.com/AD404-0/awesome-list.git"
"adibdz/awesome-list","awesome-list","adibdz","https://github.com/adibdz/awesome-list","public","false","main","https://github.com/adibdz/awesome-list.git"
"adrianarellanes-jpg/awesome-list","awesome-list","adrianarellanes-jpg","https://github.com/adrianarellanes-jpg/awesome-list","public","false","main","https://github.com/adrianarellanes-jpg/awesome-list.git"
"Aerex0/awesome-list","awesome-list","Aerex0","https://github.com/Aerex0/awesome-list","public","false","main","https://github.com/Aerex0/awesome-list.git"
"affilares/awesome-list","awesome-list","affilares","https://github.com/affilares/awesome-list","public","false","main","https://github.com/affilares/awesome-list.git"
"AI4DAS/Awesome-List","Awesome-List","AI4DAS","https://github.com/AI4DAS/Awesome-List","public","false","main","https://github.com/AI4DAS/Awesome-List.git"
"Airforme/awesome-list","awesome-list","Airforme","https://github.com/Airforme/awesome-list","public","false","master","https://github.com/Airforme/awesome-list.git"
"ajaypachpande/awesome-list","awesome-list","ajaypachpande","https://github.com/ajaypachpande/awesome-list","public","false","main","https://github.com/ajaypachpande/awesome-list.git"
"akdmjeau-eng/awesome-list","awesome-list","akdmjeau-eng","https://github.com/akdmjeau-eng/awesome-list","public","false","main","https://github.com/akdmjeau-eng/awesome-list.git"
"Al-Hazar/awesome-list","awesome-list","Al-Hazar","https://github.com/Al-Hazar/awesome-list","public","false","main","https://github.com/Al-Hazar/awesome-list.git"
"albertogomesdasilva/awesome-list","awesome-list","albertogomesdasilva","https://github.com/albertogomesdasilva/awesome-list","public","false","main","https://github.com/albertogomesdasilva/awesome-list.git"
"alert90/awesome-list","awesome-list","alert90","https://github.com/alert90/awesome-list","public","false","main","https://github.com/alert90/awesome-list.git"
"AlexMon0/awesome-list","awesome-list","AlexMon0","https://github.com/AlexMon0/awesome-list","public","false","main","https://github.com/AlexMon0/awesome-list.git"
"alkevin/awesome-list","awesome-list","alkevin","https://github.com/alkevin/awesome-list","public","false","master","https://github.com/alkevin/awesome-list.git"
"alpertungax1/awesome-list","awesome-list","alpertungax1","https://github.com/alpertungax1/awesome-list","public","false","main","https://github.com/alpertungax1/awesome-list.git"
"alpine-collective/awesome","awesome","alpine-collective","https://github.com/alpine-collective/awesome","public","false","main","https://github.com/alpine-collective/awesome.git"
"alsyundawy/awesome-list","awesome-list","alsyundawy","https://github.com/alsyundawy/awesome-list","public","false","master","https://github.com/alsyundawy/awesome-list.git"
